,dates
1142,09-02-1959
1143,10-02-1959
1144,11-02-1959
1145,12-02-1959
1146,13-02-1959
1147,14-02-1959
1148,16-02-1959
1149,17-02-1959
1150,18-02-1959
1151,19-02-1959
1152,20-02-1959
1153,21-02-1959
1154,23-02-1959
1155,24-02-1959
1156,25-02-1959
1157,26-02-1959
1158,27-02-1959
1159,28-02-1959
1160,02-03-1959
1161,03-03-1959
1162,04-03-1959
1163,05-03-1959
1164,06-03-1959
1165,07-03-1959
1166,09-03-1959
1167,10-03-1959
1168,11-03-1959
1169,12-03-1959
1170,13-03-1959
1171,14-03-1959
1172,16-03-1959
1173,17-03-1959
1174,18-03-1959
1175,19-03-1959
1176,20-03-1959
1177,21-03-1959
1178,23-03-1959
1179,24-03-1959
1180,25-03-1959
1181,26-03-1959
1182,27-03-1959
1183,28-03-1959
1184,31-03-1959
1185,01-04-1959
1186,02-04-1959
1187,03-04-1959
1188,04-04-1959
1189,06-04-1959
1190,07-04-1959
1191,08-04-1959
1192,09-04-1959
1193,10-04-1959
1194,11-04-1959
1195,13-04-1959
1196,14-04-1959
1197,15-04-1959
1198,16-04-1959
1199,17-04-1959
1200,18-04-1959
1201,20-04-1959
1202,21-04-1959
1203,22-04-1959
1204,23-04-1959
1205,24-04-1959
1206,25-04-1959
1207,27-04-1959
1208,28-04-1959
1209,29-04-1959
1210,01-05-1959
1211,02-05-1959
1212,04-05-1959
1213,05-05-1959
1214,06-05-1959
1215,08-05-1959
1216,09-05-1959
1217,11-05-1959
1218,12-05-1959
1219,13-05-1959
1220,14-05-1959
1221,15-05-1959
1222,16-05-1959
1223,19-05-1959
1224,20-05-1959
1225,21-05-1959
1226,22-05-1959
1227,23-05-1959
1228,25-05-1959
1229,26-05-1959
1230,27-05-1959
1231,28-05-1959
1232,29-05-1959
1233,30-05-1959
1234,01-06-1959
1235,02-06-1959
1236,03-06-1959
1237,04-06-1959
1238,05-06-1959
1239,06-06-1959
1240,08-06-1959
1241,09-06-1959
1242,10-06-1959
1243,11-06-1959
1244,12-06-1959
1245,13-06-1959
1246,15-06-1959
1247,16-06-1959
1248,17-06-1959
1249,18-06-1959
1250,19-06-1959
1251,20-06-1959
1252,22-06-1959
1253,23-06-1959
1254,24-06-1959
1255,25-06-1959
1256,26-06-1959
1257,27-06-1959
1258,29-06-1959
